external_id,SMILES,original_format_type,value,units,source,measurement_type,reference,is_open,is_predicted
1,[Cl].CC(C)NCC(O)COc1cccc2ccccc12,SMILES,1,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
2,C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,SMILES,1,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
3,c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,SMILES,1,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
4,C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C,SMILES,1,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
5,Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,SMILES,1,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
6,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,SMILES,1,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
7,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC5)C1=O,SMILES,1,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
8,Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,SMILES,1,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
9,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,SMILES,1,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
10,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,SMILES,1,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
11,OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,SMILES,0,binary,Martins2012,BBB_binary,martins_2012,TRUE,FALSE
