external_id,original_format,original_format_type,value,units,source,measurement_type,reference,is_open,is_predicted
1,[F]C([F])([Cl])C([F])([F])[Cl],SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
2,C[C@@]1([H])CCCC[C@@]1(N2CCCCC2)C=3[S]C=CC=3,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
3,C[C@@]([H])(C/C1=C/C=CC=C1)NCCN2C=NC=3N(C)C(=O)N(C)C(=O)C2=3,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
4,CC(=O)NCCCN1CCN(CC1)C2=CC([Cl])=C/C=C2/[Cl],SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
5,CC(C)([H])CCC[C@@](C)([H])[C@@]3([H])CC[C@@]4([H])[C@@]2([H])C[C@@]([Br])([H])[C@@]1([Br])C[C@@]([H])(CC[C@@]1(C)[C@@]2([H])CC[C@@]34C)OC(C)=O,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
6,CCC([Br])(CC)C(=O)NC(=O)NC(C)=O,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
7,CC(=O)OCC(=O)OCCC([S]C(=O)C1=CC=CO1)=C(C)N(C/C2=C/N=C(/C)N=C2N)C=O,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
8,CC(=O)N[C@@]([H])(CCC(N)=O)C(O)=O,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
9,CC(=O)NC[C@@]2(CCN(CCCC(=O)C1=C/C=C(/[F])C=C1)CC2)C3=CC=CC=C3,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
10,CC(=O)N/C2=C/C=C(/OC(=O)C1=CC=C/C=C1/O)C=C2,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
11,CC(=O)N/C1=N/N=C([S]1)[S](N)(=O)=O,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
12,CC(=O)OCCC([S]C(C)=O)=C(C)N(C/C1=C/N=C(/C)N=C1N)C=O,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
13,CC(=O)[S]C[C@@]([H])(C/C1=C/C=CC=C1)C(=O)NCC(=O)OC/C2=C/C=CC=C2,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
14,CCC[C@@](C)(O)[C@@]1([H])C[C@@]23C=C[C@@]1(OC)[C@@]4([H])O/C5=C(/OC(C)=O)C=CC=6C[C@@]2([H])N(C)CC[C@@]34C5=6,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
15,CC[C@@]([H])(OC(C)=O)C(C[C@@](C)([H])N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
16,CC(C)([H])CC(=O)O[C@@]2([H])C=C1C(=CO[C@@]([H])(OC(=O)CC(C)(C)OC(C)=O)[C@@]1([H])[C@@]23CO3)COC(C)=O,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
17,C[C@@]34C[C@@](O)([H])[C@@]1([F])[C@@]([H])(CCC2=CC(=O)C=C[C@@]12C)[C@@]3([H])C[C@@]5([H])O[C@@]([H])(O[C@@]45C(=O)CO)C=C,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
18,N/C2=N/C=1N(C=NC=1C(=O)N2)COCCO,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
19,[Cl]/C4=C/C=C(/OCC(=O)OCCN[C@@]23CC1([H])C[C@@]([H])(C[C@@]([H])(C1)C2)C3)C=C4,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
20,O=C(NCCN1CCN(CC1)C2=NC=CC=N2)[C@@]45C[C@@]3([H])C[C@@]([H])(C[C@@]([H])(C3)C4)C5,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
21,C[C@@](N)([H])C(=O)OC(C)(C)C/C1=C/C=C(/[Cl])C=C1,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
22,CCC(=O)OCC(=O)[C@@]3(OC(=O)CC)[C@@](C)([H])C[C@@]4([H])[C@@]2([H])[C@@]([Cl])([H])CC1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
23,CCCN(CCC)[C@@]1([H])CC2=CC=CC3=CC(O)=CC(C1)=C23,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
24,C[C@@]13CC[C@@](O)([H])C[C@@]1([H])CC[C@@]4([H])[C@@]2([H])CC[C@@]([H])(C(=O)CO)[C@@]2(C)CC(=O)[C@@]34[H],SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
25,CC(=O)[C@@]3([H])CC[C@@]4([H])[C@@]2([H])CC[C@@]1([H])C[C@@](O)([H])CC[C@@]1(C)[C@@]2([H])C(=O)C[C@@]34C,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
26,CCC(=O)N(/C1=C/C=CC=C1)[C@@]3(CCN(CCN2N=NN(CC)C2=O)CC3)COC,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
27,CC(=O)[C@@]14OC(C)(C)O[C@@]1([H])C[C@@]5([H])[C@@]3([H])CCC2=CC(=O)CC[C@@]2(C)[C@@]3([H])CC[C@@]45C,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
28,CO[C@@]1([F])C([F])([F])[C@@]1([F])[Cl],SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
29,CCC[C@@](C)(O)[C@@]1([H])C[C@@]23C=C[C@@]1(OC)[C@@]4([H])O/C5=C(/O)C=CC=6C[C@@]2([H])N(CC[C@@]34C5=6)CC=C,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
30,C[C@@]1([H])OC(=O)N(CC=C)C1=O,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
31,CNC[C@@]1([H])CN(C(=O)O1)C3=C/C=C(/OC/C2=C/C=CC([Cl])=C2)C=C3,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
32,CO/C3=C/C=CC=4OC[C@@]([H])(CCCNCCCCN2C(=O)C[C@@]1(CCCC1)CC2=O)CC3=4,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
33,O=C3CC[C@@]1(CCC(=O)C2=CC=CC=C12)C(=O)N3,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
34,CC(=O)NCCN1C(C)=CC(C=O)=C1C,SMILES,1,binary,admetSAR,BBB_binary,shen_2010,TRUE,FALSE
