external_id,original_format,original_format_type,value,units,source,measurement_type,reference,is_open,is_predicted
1,CCCCC,SMILES,-3.18,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
2,C1CCCC1,SMILES,-2.64,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
3,CCCCCC,SMILES,-3.84,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
4,CCCC(C)C,SMILES,-3.74,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
6,CCC(C)(C)C,SMILES,-3.55,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
7,C1CCCCC1,SMILES,-3.1,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
8,C1CCCC1C,SMILES,-3.3,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
9,CCCCCCC,SMILES,-4.53,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
11,C1CCCCC1C,SMILES,-3.85,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
12,CCCCCCCC,SMILES,-5.24,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
13,C1CCCCCC1,SMILES,-3.52,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
14,C1CCCCCCC1,SMILES,-4.15,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
16,CCC=CC,SMILES,-2.54,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
17,C1CC=CC1,SMILES,-2.1,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
18,CCCCC=C,SMILES,-3.23,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
19,CC(C)CC=C,SMILES,-3.24,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
21,CCCCC=CC,SMILES,-3.82,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
22,C1CC=C(C)CC1,SMILES,-3.27,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
23,CCCCCCC=C,SMILES,-4.44,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
24,CCCCCCCC=C,SMILES,-5.05,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
26,C=CCCC=C,SMILES,-2.68,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
27,C=C(C)C=C,SMILES,-2.03,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
28,C=CC=C,SMILES,-1.87,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
29,C1C=CCC=C1,SMILES,-1.97,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
31,C(=CCC(C(=C)C)C1)(C1)C,SMILES,-4,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
32,CCCC,SMILES,-1.64,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
33,CCCCC,SMILES,-2.36,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
34,CCCCCC,SMILES,-3.01,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
36,CCCCCCCC,SMILES,-4.24,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
37,c1ccccc1,SMILES,-1.64,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
38,c1ccccc1C,SMILES,-2.21,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
39,c1cccc(C)c1C,SMILES,-2.8,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
41,c1cc(C)ccc1C,SMILES,-2.77,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
42,c1ccc(C)cc1C,SMILES,-2.82,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
43,c1ccccc1CCC,SMILES,-3.37,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
44,c1cc(C)cc(C)c1C,SMILES,-3.31,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
46,c1ccc(C)c(C)c1C,SMILES,-3.2,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
47,c1cccc(C)c1CC,SMILES,-3.21,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
48,c1cc(C)ccc1CC,SMILES,-3.11,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
49,c1ccccc1C(C)C,SMILES,-3.27,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
51,c1ccccc1CCCC,SMILES,-4.06,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
52,c1cc(CC)ccc1CC,SMILES,-3.75,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
53,c1cc(C)ccc1C(C)C,SMILES,-3.77,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
54,c1ccccc1C(C)(C)C,SMILES,-3.66,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
56,c1ccccc1C(C)CC,SMILES,-3.89,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
57,c1c(C)c(C)c(C)c(C)c1C,SMILES,-4,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
58,c1ccccc1CCCCC,SMILES,-4.64,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
59,c1ccccc1C(CC)(C)C,SMILES,-4.15,log units,Huuskonen2000,logS,huuskonen_2000,TRUE,FALSE
