external_id,original_format,original_format_type,value,units,source,measurement_type,reference,is_open,is_predicted
1,Brc1c2c(ccc1)cccc2,SMILES,-4.35,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
2,Brc1c(c(cc(c1)C#N)Br)O,SMILES,-3.33,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
3,Brc1c(cc(c(c1)Br)Br)Br,SMILES,-6.98,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
4,Brc1c(cc(c(c1)Cl)OP(=S)(OC)OC)Cl,SMILES,-6.09,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
5,Brc1c(cc(cc1)NC(=O)N(OC)C)Cl,SMILES,-3.92,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
6,Brc1c(ccc(c1)Br)Br,SMILES,-4.5,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
7,Brc1c(cccc1Br)Br,SMILES,-5.04,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
8,Brc1c(cccc1)Br,SMILES,-3.5,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
9,Brc1c(cccc1)C,SMILES,-2.23,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
10,Brc1c(cccc1)Cl,SMILES,-3.19,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
11,Brc1c(cccc1)F,SMILES,-2.7,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
12,Brc1cc2c(cc1)cccc2,SMILES,-4.4,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
13,Brc1cc(cc(c1)Br)Br,SMILES,-5.6,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
14,Brc1cc(ccc1)Br,SMILES,-3.54,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
15,Brc1cc(ccc1)C,SMILES,-3.52,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
16,Brc1cc(ccc1)Cl,SMILES,-3.21,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
17,Brc1cc(ccc1)F,SMILES,-2.67,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
18,Brc1ccc(cc1)Br,SMILES,-4.07,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
19,Brc1ccc(cc1)-c2ccc(cc2)C(O)CC(C4=C(c3c(cccc3)OC4=O)O)c5ccccc5,SMILES,-4.45,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
20,Brc1ccc(cc1)C,SMILES,-3.19,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
21,Brc1ccc(cc1)Cl,SMILES,-3.63,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
22,Brc1ccc(cc1)C(O)(c2ccc(cc2)Br)C(=O)OC(C)C,SMILES,-4.93,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
23,Brc1ccc(cc1)NC(=O)C,SMILES,-3.08,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
24,Brc1ccc(cc1)O,SMILES,-1.09,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
25,Brc1ccccc1,SMILES,-2.55,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
26,BrC1CCCCC1,SMILES,-2.3,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
27,BrC1=C(C=NN(C1=O)c2ccccc2)N,SMILES,-3.12,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
28,BrC1=C(NC(=O)N(C1=O)C(CC)C)C,SMILES,-2.52,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
29,BrC(Br)(Br)Br,SMILES,-3.14,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
30,BrC(=C)CC1(C(=O)NC(=O)NC1=O)C(CC)C,SMILES,-2.65,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
31,BrC(CC)(CC)C(=O)NC(=O)N,SMILES,-2.68,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
32,BrC(=CC1C(C1C(=O)OC(c2cc(ccc2)Oc3ccccc3)C#N)(C)C)Br,SMILES,-8.4,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
33,BrC(Cl)(Cl)C(Br)OP(=O)(OC)OC,SMILES,-2.28,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
34,BrCBr,SMILES,-1.17,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
35,BrCCBr,SMILES,-1.68,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
36,BrCCCBr,SMILES,-2.08,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
37,BrCCCCCCCC,SMILES,-5.06,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
38,BrCCCCCCC,SMILES,-4.43,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
39,BrCCCCCC,SMILES,-3.81,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
40,BrCCCCC,SMILES,-3.07,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
41,BrCCCC,SMILES,-2.37,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
42,BrCCCCl,SMILES,-1.85,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
43,BrCCC,SMILES,-1.73,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
44,BrCCC(C)C,SMILES,-2.89,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
45,BrCCCl,SMILES,-1.32,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
46,BrCC,SMILES,-1.09,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
47,BrCC=C,SMILES,-1.5,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
48,BrCC(C)C,SMILES,-2.43,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
49,BrCCl,SMILES,-0.89,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
50,BrC,SMILES,-0.79,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
51,BrC(Br)Br,SMILES,-1.91,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
52,BrC(Br)Cl,SMILES,-1.9,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
53,BrC(CBr)CCl,SMILES,-2.38,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
54,BrC(CBr)C,SMILES,-2.15,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
55,BrC(C)C,SMILES,-1.59,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
56,BrC(Cl)C(F)(F)F,SMILES,-1.71,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
57,BrC(Cl)Cl,SMILES,-1.54,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
58,BrC=CBr,SMILES,-1.32,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
59,BrC=CBr,SMILES,-1.32,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
60,c61c5c4c3c2c1c7ccc2ccc3ccc4ccc5ccc6cc7,SMILES,-9.33,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
61,c21c3c4c5c6c1c(ccc2ccc3ccc4ccc5)ccc6,SMILES,-9.03,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
62,c21c3c4c5c(c1cccc2ccc3ccc4)cccc5,SMILES,-7.8,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
63,c21c3c4ccc1c5c(cc2ccc3ccc4)cccc5,SMILES,-8.19,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
64,c21c3c4ccc1cccc2ccc3ccc4,SMILES,-6.19,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
65,c43c1c(c2c(cc1)cccc2)ccc3c5c(cc4)cccc5,SMILES,-7.87,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
66,c21c5c(cc-3c1c(ccc2)-c4c-3cccc4)cccc5,SMILES,-8.23,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
67,c31c5c(ccc1cc2c4c(ccc2c3)cccc4)cccc5,SMILES,-8.66,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
68,c21c3c(ccc1cccc2)cccc3,SMILES,-5.26,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
69,c31c4cccc1-c2c5c(ccc2-c3ccc4)cccc5,SMILES,-8,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
70,c31c4cccc1-c5c2c(cccc2-c3ccc4)ccc5,SMILES,-8.8,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
71,c41c5cccc1-c2c(cc3c(c2)cccc3)-c4ccc5,SMILES,-8.49,log units,Gharagheizi2011,logS,gharagheizi_2011,TRUE,FALSE
