external_id,SMILES,value,source,measurement_type,reference,units,is_open,is_predicted
1,ClC(Cl)(C([H])([H])[H])Cl,0.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
2,[H]c1c([H])c(C([H])([H])C([H])([H])C([H])([H])N2[H])c2c([H])c1[H],0.7,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
3,Fc1c(C(c2c(N34)c([H])c([H])c(Cl)c2[H])=NC([H])([H])C3=C([H])N=C4C([H])([H])O[H])c([H])c([H])c([H])c1[H],-0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
4,ClC([H])([H])C(F)(F)F,0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
5,[H]C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])([H])C([H])([H])[H],1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
6,[H]C(C([H])([H])[H])(O[H])C([H])([H])[H],-0.2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
7,[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
8,[H]C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])C([H])([H])[H])([H])C([H])([H])[H],0.9,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
9,[H]C([H])([H])C([H])([H])C(C([H])([H])[H])([H])C([H])([H])C([H])([H])[H],1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
10,Fc1c(C(c2c3c([H])c([H])c(Cl)c2[H])=N[C@@](O[H])([H])C4=C([H])N=C(N34)C([H])([H])[H])c([H])c([H])c([H])c1[H],-0.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
11,O=C(Oc1c(C(O[H])=O)c([H])c([H])c([H])c1[H])C([H])([H])[H],-0.5,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
12,[H]C([H])([H])C(C([H])([H])[H])(N([H])C([H])([H])C(O[H])([H])c1c([H])c(C([H])([H])O[H])c(O[H])c([H])c1[H])C([H])([H])[H],-1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
13,Clc1c([H])c(C(c2c([H])c([H])c([H])c([H])c2[H])=NC([H])([H])C3=NN=C4C([H])([H])O[H])c(N34)c([H])c1[H],-1.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
14,Clc1c([H])c(C(c2c([H])c([H])c([H])c([H])c2[H])=NC([H])([H])C4=NN=C(N34)C([H])([H])[H])c3c([H])c1[H],0,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
15,[H]C([H])([H])N1/C(C(N(C([H])([H])[H])C([H])([H])[H])=C(O[H])N1c2c([H])c([H])c([H])c([H])c2[H])=C([H])/[H],0,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
16,[H]C([H])([H])N(C([H])([H])C([H])([H])/C([H])=C2/c1c(C([H])([H])C([H])([H])c3c2c([H])c([H])c([H])c3[H])c([H])c([H])c([H])c1[H])C([H])([H])[H],0.9,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
17,O=C(N1c2c([H])c([H])c([H])c([H])c2[H])C([H])=C(N1C([H])([H])[H])C([H])([H])[H],-0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
