"external_id","original_format","original_format_type","value","units","source","measurement_type","reference","is_open","is_predicted"
1,"toluene","Name",0.57,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
2,"ethanol","Name",3.69,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
3,"cyclohexane","Name",-0.79,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
4,"2-butanone","Name",2.63,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
5,"nitromethane","Name",2.93,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
6,"pentane","Name",-1.71,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
7,"1,4-dioxane","Name",3.71,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
8,"2-methylpentane","Name",-1.84,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
9,"ethylcyclohexane","Name",-1.09,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
10,"2,3,4-trimethylpentane","Name",-1.86,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
11,"2,4-dimethylpentane","Name",-1.89,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
12,"benzene","Name",0.64,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
13,"methanol","Name",3.73,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
14,"1-propanol","Name",3.52,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
15,"4-nitroaniline","Name",7.49,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
16,"acetone","Name",2.79,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
17,"1-butanol","Name",3.44,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
18,"ethyl acetate","Name",2.26,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
19,"chloroform","Name",0.82,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
20,"dichloromethane","Name",0.88,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
21,"2-hydroxybenzoic acid","Name",5.43,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
22,"carbon tetrachloride","Name",-0.05,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
23,"4-hydroxyacetanilide","Name",9.53,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
24,"1-hexanol","Name",3.16,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
25,"2-propanol","Name",3.48,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
26,"acetonitrile","Name",2.85,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
27,"ethylbenzene","Name",0.49,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
28,"3-nitrobenzoic acid","Name",6.93,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
29,"methylcyclohexane","Name",-1.24,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
30,"1-pentanol","Name",3.27,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
31,"4-aminobenzoic acid","Name",6.35,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
32,"butyl acetate","Name",1.94,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
33,"ibuprofen","Name",3.06,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
34,"propyl acetate","Name",2.05,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
35,"chlorobenzene","Name",0.9,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
36,"diclofenac","Name",8.35,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
37,"methyl acetate","Name",2.33,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
38,"1-hexene","Name",-1.23,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
39,"1-heptanol","Name",3.11,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
40,"aniline","Name",4.08,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
41,"pentyl acetate","Name",1.8,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
42,"methyl propionate","Name",2.15,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
43,"naphthalene","Name",1.75,"log units","Katritzky2005","logS","katritzky_2005",TRUE,FALSE
