external_id,original_format,original_format_type,value,units,source,measurement_type,reference,is_open,is_predicted
1,CC(N)=O,SMILES,1.58,log units,Hou2003,logS,hou_2003,TRUE,FALSE
2,[H][N@](C)N,SMILES,1.34,log units,Hou2003,logS,hou_2003,TRUE,FALSE
3,CC(O)=O,SMILES,1.22,log units,Hou2003,logS,hou_2003,TRUE,FALSE
4,C1CCCN1,SMILES,1.15,log units,Hou2003,logS,hou_2003,TRUE,FALSE
5,[H][N@@](O)C(N)=O,SMILES,1.12,log units,Hou2003,logS,hou_2003,TRUE,FALSE
6,OC(CO)CO,SMILES,1.12,log units,Hou2003,logS,hou_2003,TRUE,FALSE
7,CC(=O)N(C)C,SMILES,1.11,log units,Hou2003,logS,hou_2003,TRUE,FALSE
8,C1C=CC=NN=1,SMILES,1.1,log units,Hou2003,logS,hou_2003,TRUE,FALSE
9,C1N=CC=CN=1,SMILES,1.1,log units,Hou2003,logS,hou_2003,TRUE,FALSE
10,O[C@@H](CO)[C@H](O)[C@H](O)[C@@H](O)CO,SMILES,1.09,log units,Hou2003,logS,hou_2003,TRUE,FALSE
11,C[C@@H](N)CC(O)=O,SMILES,1.08,log units,Hou2003,logS,hou_2003,TRUE,FALSE
12,[H][N@]1CC[N@@]([H])CC1,SMILES,1.07,log units,Hou2003,logS,hou_2003,TRUE,FALSE
13,C1CCCCN1,SMILES,1.07,log units,Hou2003,logS,hou_2003,TRUE,FALSE
14,OC1C=CN=CC=1,SMILES,1.02,log units,Hou2003,logS,hou_2003,TRUE,FALSE
15,OC1=CC=CC=N1,SMILES,1.02,log units,Hou2003,logS,hou_2003,TRUE,FALSE
16,OC(=O)CCCC(O)=O,SMILES,1,log units,Hou2003,logS,hou_2003,TRUE,FALSE
17,CN1CCOCC1,SMILES,1,log units,Hou2003,logS,hou_2003,TRUE,FALSE
18,COC(N)=O,SMILES,0.97,log units,Hou2003,logS,hou_2003,TRUE,FALSE
19,CN1C=CC=CC1=O,SMILES,0.96,log units,Hou2003,logS,hou_2003,TRUE,FALSE
20,OC(=O)CCl,SMILES,0.93,log units,Hou2003,logS,hou_2003,TRUE,FALSE
21,CCOC(N)=O,SMILES,0.85,log units,Hou2003,logS,hou_2003,TRUE,FALSE
22,C[N@]1CC(=CCC1)C(=O)OC,SMILES,0.81,log units,Hou2003,logS,hou_2003,TRUE,FALSE
23,OC1=CC(O)=CC=C1,SMILES,0.81,log units,Hou2003,logS,hou_2003,TRUE,FALSE
24,C1=CC=CC=N1,SMILES,0.76,log units,Hou2003,logS,hou_2003,TRUE,FALSE
25,[H][N@@]1C[C@@H](C)[N@]([H])CC1,SMILES,0.74,log units,Hou2003,logS,hou_2003,TRUE,FALSE
26,OC[C@]1(O)OC[C@@H](O)[C@@H](O)[C@H]1O,SMILES,0.64,log units,Hou2003,logS,hou_2003,TRUE,FALSE
27,OC1=CC=CC=C1O,SMILES,0.62,log units,Hou2003,logS,hou_2003,TRUE,FALSE
28,NC(=O)C1C=NC=CC=1,SMILES,0.61,log units,Hou2003,logS,hou_2003,TRUE,FALSE
29,O=C1C=CN=CN1,SMILES,0.59,log units,Hou2003,logS,hou_2003,TRUE,FALSE
30,CCC=O,SMILES,0.58,log units,Hou2003,logS,hou_2003,TRUE,FALSE
31,COC=O,SMILES,0.58,log units,Hou2003,logS,hou_2003,TRUE,FALSE
32,C=CC=O,SMILES,0.57,log units,Hou2003,logS,hou_2003,TRUE,FALSE
33,C1CCCO1,SMILES,0.56,log units,Hou2003,logS,hou_2003,TRUE,FALSE
34,CCC(C)=O,SMILES,0.52,log units,Hou2003,logS,hou_2003,TRUE,FALSE
35,[H][N@]1C[C@H](C)[N@@]([H])C[C@H]1C,SMILES,0.49,log units,Hou2003,logS,hou_2003,TRUE,FALSE
36,COCOC,SMILES,0.48,log units,Hou2003,logS,hou_2003,TRUE,FALSE
37,CC1C=CC=C(C)N=1,SMILES,0.45,log units,Hou2003,logS,hou_2003,TRUE,FALSE
38,CC1C=NC(C)=CC=1,SMILES,0.4,log units,Hou2003,logS,hou_2003,TRUE,FALSE
39,O[C@@H]1CO[C@@H](O)[C@@H](O)[C@H]1O,SMILES,0.39,log units,Hou2003,logS,hou_2003,TRUE,FALSE
40,CC1C=C(C)N=CC=1,SMILES,0.38,log units,Hou2003,logS,hou_2003,TRUE,FALSE
41,CC1=NC=CC=C1C,SMILES,0.38,log units,Hou2003,logS,hou_2003,TRUE,FALSE
42,[H][N@@]1C[C@@H]2C[C@H](C1)C1=CC=CC(=O)N1C2,SMILES,0.36,log units,Hou2003,logS,hou_2003,TRUE,FALSE
43,O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,SMILES,0.35,log units,Hou2003,logS,hou_2003,TRUE,FALSE
44,C/C=C\C=O,SMILES,0.32,log units,Hou2003,logS,hou_2003,TRUE,FALSE
45,CC[C@H](N)C(O)=O,SMILES,0.31,log units,Hou2003,logS,hou_2003,TRUE,FALSE
46,O=C1CCC(=O)N1,SMILES,0.3,log units,Hou2003,logS,hou_2003,TRUE,FALSE
47,CC(C)C(O)=O,SMILES,0.28,log units,Hou2003,logS,hou_2003,TRUE,FALSE
48,CN1CCCCC1,SMILES,0.23,log units,Hou2003,logS,hou_2003,TRUE,FALSE
49,CC(=O)CC(C)=O,SMILES,0.22,log units,Hou2003,logS,hou_2003,TRUE,FALSE
50,CCOC=O,SMILES,0.15,log units,Hou2003,logS,hou_2003,TRUE,FALSE
51,C=CC#N,SMILES,0.15,log units,Hou2003,logS,hou_2003,TRUE,FALSE
52,C[C@@H]1CCCO1,SMILES,0.11,log units,Hou2003,logS,hou_2003,TRUE,FALSE
53,CC(C)(C)OC(N)=O,SMILES,0.1,log units,Hou2003,logS,hou_2003,TRUE,FALSE
54,CCC(C)(C)O,SMILES,0.08,log units,Hou2003,logS,hou_2003,TRUE,FALSE
55,[H][N@@](N)C1C=CC=CC=1,SMILES,0.07,log units,Hou2003,logS,hou_2003,TRUE,FALSE
56,CC(C)CO,SMILES,0.04,log units,Hou2003,logS,hou_2003,TRUE,FALSE
57,CCS(=O)(=O)CC,SMILES,0.04,log units,Hou2003,logS,hou_2003,TRUE,FALSE
58,C1=NC=NC2N=CC=NC=21,SMILES,0.02,log units,Hou2003,logS,hou_2003,TRUE,FALSE
59,NNC(=O)C1C=CN=CC=1,SMILES,0.01,log units,Hou2003,logS,hou_2003,TRUE,FALSE
60,OC1C=CC=CC=1,SMILES,0,log units,Hou2003,logS,hou_2003,TRUE,FALSE
61,CCCC=O,SMILES,-0.01,log units,Hou2003,logS,hou_2003,TRUE,FALSE
62,C[N@@]1[C@H]2C[C@H](O)[C@@H]([C@@H]1CC2)C(O)=O,SMILES,-0.02,log units,Hou2003,logS,hou_2003,TRUE,FALSE
63,C1CCCCO1,SMILES,-0.03,log units,Hou2003,logS,hou_2003,TRUE,FALSE
64,CC[C@@H]1NC(=O)NC1=O,SMILES,-0.06,log units,Hou2003,logS,hou_2003,TRUE,FALSE
65,CC1=CC(O)=NO1,SMILES,-0.07,log units,Hou2003,logS,hou_2003,TRUE,FALSE
66,C[C@H](O)[C@@H](N)C(O)=O,SMILES,-0.09,log units,Hou2003,logS,hou_2003,TRUE,FALSE
67,CCOCC,SMILES,-0.09,log units,Hou2003,logS,hou_2003,TRUE,FALSE
68,O=CC1=CC=CO1,SMILES,-0.1,log units,Hou2003,logS,hou_2003,TRUE,FALSE
69,CC1N=C2N=CC=NC2=CN=1,SMILES,-0.12,log units,Hou2003,logS,hou_2003,TRUE,FALSE
70,CC(C)(S)[C@@H](N)C(O)=O,SMILES,-0.13,log units,Hou2003,logS,hou_2003,TRUE,FALSE
71,CCN(CC)CC,SMILES,-0.14,log units,Hou2003,logS,hou_2003,TRUE,FALSE
72,C1=CC=CN1,SMILES,-0.17,log units,Hou2003,logS,hou_2003,TRUE,FALSE
73,O[C@@H]1[C@@H](O)[C@@H](O)C[C@@H](O)[C@H]1O,SMILES,-0.17,log units,Hou2003,logS,hou_2003,TRUE,FALSE
74,CN1C(=O)C2=C(N=CN2C[C@@H](O)CO)N(C)C1=O,SMILES,-0.17,log units,Hou2003,logS,hou_2003,TRUE,FALSE
75,O=NN1CCCCC1,SMILES,-0.17,log units,Hou2003,logS,hou_2003,TRUE,FALSE
76,CCCC(C)=O,SMILES,-0.19,log units,Hou2003,logS,hou_2003,TRUE,FALSE
77,CCCC(O)=O,SMILES,-0.19,log units,Hou2003,logS,hou_2003,TRUE,FALSE
78,CN(C)NC(=O)CCC(O)=O,SMILES,-0.2,log units,Hou2003,logS,hou_2003,TRUE,FALSE
79,OC(=O)CCC(O)=O,SMILES,-0.2,log units,Hou2003,logS,hou_2003,TRUE,FALSE
80,CC(C)[C@H](C)O,SMILES,-0.2,log units,Hou2003,logS,hou_2003,TRUE,FALSE
81,COC(=O)C=C,SMILES,-0.22,log units,Hou2003,logS,hou_2003,TRUE,FALSE
82,CCC(O)CC,SMILES,-0.24,log units,Hou2003,logS,hou_2003,TRUE,FALSE
83,OC(=O)[C@H]1[C@H]([C@H]2CC[C@H]1O2)C(O)=O,SMILES,-0.27,log units,Hou2003,logS,hou_2003,TRUE,FALSE
84,CCC[C@@H](C)O,SMILES,-0.29,log units,Hou2003,logS,hou_2003,TRUE,FALSE
85,CC(C)(C(O)=O)[C@@](C)(CC(O)=O)C(O)=O,SMILES,-0.29,log units,Hou2003,logS,hou_2003,TRUE,FALSE
86,N#CCCCl,SMILES,-0.29,log units,Hou2003,logS,hou_2003,TRUE,FALSE
87,OC1=CC=CC=C1CO,SMILES,-0.29,log units,Hou2003,logS,hou_2003,TRUE,FALSE
88,CC(C)COC(N)=O,SMILES,-0.3,log units,Hou2003,logS,hou_2003,TRUE,FALSE
89,NC(N)=NC#N,SMILES,-0.31,log units,Hou2003,logS,hou_2003,TRUE,FALSE
90,CC(O)(CC)CC,SMILES,-0.38,log units,Hou2003,logS,hou_2003,TRUE,FALSE
